rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-11,tight,81.0,2026-03-11 10:03:00-04:00,2026-03-11 10:04:00-04:00,25114.75,2026-03-11 10:05:00-04:00,25145.25,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-16,tight,94.0,2026-03-16 09:48:00-04:00,2026-03-16 09:49:00-04:00,24702.5,2026-03-16 09:58:00-04:00,24733.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-17,tight,112.5,2026-03-17 09:58:00-04:00,2026-03-17 09:59:00-04:00,24857.0,2026-03-17 10:11:00-04:00,24827.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-18,tight,85.25,2026-03-18 09:47:00-04:00,2026-03-18 09:48:00-04:00,24768.25,2026-03-18 09:50:00-04:00,24738.75,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-26,tight,92.5,2026-03-26 09:46:00-04:00,2026-03-26 09:47:00-04:00,24153.5,2026-03-26 09:47:00-04:00,24184.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-31,tight,91.25,2026-03-31 10:48:00-04:00,2026-03-31 10:49:00-04:00,23457.0,2026-03-31 10:51:00-04:00,23427.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-04-09,tight,93.75,2026-04-09 11:38:00-04:00,2026-04-09 11:39:00-04:00,25096.25,2026-04-09 11:40:00-04:00,25126.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-04-10,tight,82.0,2026-04-10 11:19:00-04:00,2026-04-10 11:20:00-04:00,25369.5,2026-04-10 11:31:00-04:00,25340.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-04-15,tight,76.75,2026-04-15 10:00:00-04:00,2026-04-15 10:01:00-04:00,26053.25,2026-04-15 10:03:00-04:00,26083.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-04-17,tight,91.25,2026-04-17 09:53:00-04:00,2026-04-17 09:54:00-04:00,26718.5,2026-04-17 09:54:00-04:00,26689.0,target,57.66,full_history
