rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-11-25,normal,162.5,2025-11-25 10:02:00-05:00,2025-11-25 10:03:00-05:00,24705.25,2025-11-25 10:07:00-05:00,24746.375,stop,-83.59,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-11-26,tight,81.75,2025-11-26 09:59:00-05:00,2025-11-26 10:00:00-05:00,25167.0,2025-11-26 10:00:00-05:00,25136.84375,target,58.9725,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-08,tight,92.75,2025-12-08 10:05:00-05:00,2025-12-08 10:06:00-05:00,25748.5,2025-12-08 10:08:00-05:00,25772.1875,stop,-48.715,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-10,normal,96.25,2025-12-10 11:00:00-05:00,2025-12-10 11:01:00-05:00,25553.5,2025-12-10 11:09:00-05:00,25578.0625,stop,-50.465,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-11,tight,94.0,2025-12-11 10:16:00-05:00,2025-12-11 10:17:00-05:00,25546.75,2025-12-11 10:17:00-05:00,25570.75,stop,-49.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-12,normal,98.5,2025-12-12 10:00:00-05:00,2025-12-12 10:01:00-05:00,25519.75,2025-12-12 10:04:00-05:00,25483.3125,target,71.535,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-15,normal,124.25,2025-12-15 09:51:00-05:00,2025-12-15 09:52:00-05:00,25273.0,2025-12-15 09:57:00-05:00,25226.90625,target,90.8475,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-16,normal,140.5,2025-12-16 10:26:00-05:00,2025-12-16 10:27:00-05:00,24945.0,2025-12-16 10:29:00-05:00,24980.625,stop,-72.59,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-17,normal,146.25,2025-12-17 10:12:00-05:00,2025-12-17 10:13:00-05:00,25057.5,2025-12-17 10:22:00-05:00,25094.5625,stop,-75.465,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-23,normal,99.5,2025-12-23 10:11:00-05:00,2025-12-23 10:12:00-05:00,25635.5,2025-12-23 10:16:00-05:00,25660.875,stop,-52.09,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-26,tight,68.0,2025-12-26 10:10:00-05:00,2025-12-26 10:11:00-05:00,25858.0,2025-12-26 10:20:00-05:00,25875.5,stop,-36.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-12-31,tight,83.5,2025-12-31 09:53:00-05:00,2025-12-31 09:54:00-05:00,25607.5,2025-12-31 09:54:00-05:00,25628.875,stop,-44.09,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-01-02,normal,95.5,2026-01-02 10:13:00-05:00,2026-01-02 10:14:00-05:00,25624.0,2026-01-02 10:15:00-05:00,25588.6875,target,69.285,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-01-08,wide,189.5,2026-01-08 10:00:00-05:00,2026-01-08 10:01:00-05:00,25590.0,2026-01-08 10:05:00-05:00,25637.875,stop,-97.09,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-01-13,normal,112.25,2026-01-13 10:08:00-05:00,2026-01-13 10:09:00-05:00,25924.25,2026-01-13 10:18:00-05:00,25882.65625,target,81.8475,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-01-14,wide,167.75,2026-01-14 09:53:00-05:00,2026-01-14 09:54:00-05:00,25619.5,2026-01-14 10:00:00-05:00,25557.09375,target,123.4725,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-01-15,normal,93.75,2026-01-15 10:44:00-05:00,2026-01-15 10:45:00-05:00,25851.5,2026-01-15 10:50:00-05:00,25816.84375,target,67.9725,human_window
