idea_id,entry_time_et,direction,setup_label,human_1c,max_size,entry_price,pdh,pdl,pdc,pdh_dist,pdl_dist,pdc_dist,gap_pts,round_signed,round_abs,ema20_60m,ema50_60m,entry_vs_60m_ema20,pre_entry_pattern,vol_z,vol_3bar_z
68,2026-01-02 10:30:15.713787-05:00,long,discretionary_or_unclassified,109.16,2,25482.5,25692.25,25444.5,25455.0,-209.75,38.0,27.5,231.25,-17.5,17.5,25654.591028443298,25628.065014710788,below,red_against,0.034572514645349925,-0.402573410705457
70,2026-01-05 09:30:41.584305-05:00,short,pre_or_locked_trade,2.7305882352995106,66,25653.03529411765,25803.5,25265.25,25385.25,-150.46470588235024,387.78529411764976,267.78529411764976,257.75,3.035294117649755,3.035294117649755,25519.524184885435,25569.61623382082,above,unknown,,
72,2026-01-06 15:17:30.523276-05:00,short,discretionary_or_unclassified,1.66,1,25815.5,25708.0,25538.5,25587.0,107.5,277.0,228.5,49.0,15.5,15.5,25652.92113948071,25617.804637808986,above,doji,-0.8575321757876366,-0.3916538959543012
73,2026-01-07 10:04:30.256596-05:00,short,discretionary_or_unclassified,11.588571428572468,3,25886.678571428572,25837.75,25608.75,25813.5,48.92857142857247,277.92857142857247,73.17857142857247,-23.0,-13.321428571427532,13.321428571427532,25686.193948645207,25634.558221983614,above,green_against,0.7715991023481977,0.013631401843807567
74,2026-01-08 09:44:51.457624-05:00,long,pre_or_locked_trade,53.66,3,25620.3,25998.0,25770.75,25834.25,-377.7000000000007,-150.45000000000073,-213.95000000000073,-48.0,20.299999999999272,20.299999999999272,25790.82881154649,25695.730286294875,below,doji,-0.8915405330919429,-0.008444473709324106
75,2026-01-09 10:30:11.675840-05:00,short,inverse_orb_candidate,74.66,2,25856.0,25802.75,25569.5,25682.75,53.25,286.5,173.25,31.5,6.0,6.0,25724.248535390572,25687.881166324594,above,doji,0.907370042904088,-0.1729374128261521
76,2026-01-09 12:26:17.794338-05:00,short,inverse_orb_candidate,10.16,1,25915.25,25802.75,25569.5,25682.75,112.5,345.75,232.5,31.5,15.25,15.25,25749.502769333325,25701.268619894407,above,doji,-1.1652470602852643,-1.044709254323713
78,2026-01-12 09:39:15.763764-05:00,short,pre_or_locked_trade,-1.09,2,25952.041666666668,25986.0,25615.75,25932.75,-33.95833333333212,336.2916666666679,19.29166666666788,-187.0,2.0416666666678793,2.0416666666678793,25813.365024872804,25737.010877317007,above,green_against,-0.7947077386769497,-0.8682048037239104
79,2026-01-13 09:46:41.326614-05:00,short,discretionary_or_unclassified,84.91,2,25962.5,26020.5,25743.75,25952.0,-58.0,218.75,10.5,-2.0,12.5,12.5,25887.61480965462,25790.96457116863,above,green_against,-0.6284548596467241,-0.2829822939806051
81,2026-01-14 10:00:18.046975-05:00,long,inverse_orb_candidate,96.16,2,25581.0,26043.0,25803.25,25904.0,-462.0,-222.25,-323.0,-163.5,-19.0,19.0,25864.673490294674,25809.26430087879,below,red_against,1.9265172014351903,-0.1477024714097478
