idea_id,direction,human_1c,max_size,setup_label,or_high_dist,or_low_dist,or_mid_dist,vwap_dist,ema9_15m_dist,ema9_5m_dist,swing_high_dist,swing_low_dist,sess_high_dist,sess_low_dist
111,short,3.0842424242402195,99,discretionary_or_unclassified,106.96212121212011,333.9621212121201,220.4621212121201,170.46831759598354,217.3142854074722,149.48840110568926,100.21212121212011,174.7121212121201,50.46212121212011,333.9621212121201
112,short,47.66,1,inverse_orb_candidate,164.5,391.5,278.0,162.84689552449709,47.55015821706911,0.7744490567347384,-27.0,12.0,-31.75,391.5
113,short,5.66,2,inverse_orb_candidate,212.75,409.75,311.25,202.76057386727916,196.71534937003526,120.74786976919131,89.75,199.25,36.25,409.75
116,short,0.6599999999999999,1,discretionary_or_unclassified,-28.25,116.75,44.25,22.704287012082204,10.729413202381693,-0.808683723978902,-65.0,25.75,-65.0,130.75
117,short,199.66,1,discretionary_or_unclassified,-153.125,-26.625,-89.875,-79.05611919588773,19.09809364861576,-24.978468922072352,-123.875,-26.625,-153.125,-26.625
118,short,105.66,1,discretionary_or_unclassified,-122.25,-32.25,-77.25,-47.57316841604916,-26.94050871040963,-27.735300956337596,-122.25,,-122.25,36.5
119,long,0.6599999999999999,1,discretionary_or_unclassified,-554.25,-464.25,-509.25,-250.93125811359278,-162.53745150228497,-53.92951340751097,-80.5,-2.75,-554.25,34.0
120,long,-97.34,1,orb_breakout_or_retest_candidate,25.0,246.25,135.625,62.52052802648541,26.943768618803006,16.387702302985417,-104.25,107.25,-104.25,246.25
121,short,26.16,4,inverse_orb_candidate,111.1875,332.4375,221.8125,147.0538316727252,117.84251489504095,109.3976618423876,-18.0625,193.4375,-18.0625,332.4375
123,short,81.41,1,discretionary_or_unclassified,-197.125,12.625,-92.25,-77.11382366392718,-190.90233930237446,-132.20214269608186,-197.125,,-197.125,62.625
124,short,110.66,1,discretionary_or_unclassified,219.0,335.75,277.375,148.26514224259518,117.35670426886281,37.206322334201104,-11.75,36.25,-11.75,335.75
125,short,129.16,1,ema_continuation_candidate,33.25,154.0,93.625,60.46046002631556,-2.3531477790529607,29.680525048697746,-34.0,74.25,-34.0,154.0
126,short,78.66,1,discretionary_or_unclassified,110.83333333333212,382.5833333333321,246.70833333333212,155.0929113389393,195.09936218736766,148.81862210604595,-22.66666666666788,201.33333333333212,-22.66666666666788,382.5833333333321
127,short,80.16,1,discretionary_or_unclassified,-132.25,27.5,-52.375,-39.625231511647144,-106.9734209426606,-61.20672468256453,-57.75,50.25,-132.25,50.25
129,long,63.66,1,discretionary_or_unclassified,-45.25,173.0,63.875,26.8845985735461,78.06383981882391,25.263796951723634,-97.25,173.0,-97.25,173.0
130,short,-0.6733333333357587,5,discretionary_or_unclassified,141.83333333333212,360.0833333333321,250.95833333333212,139.34032726102305,110.25477255879377,56.5554621676165,19.58333333333212,84.83333333333212,7.083333333332121,360.0833333333321
131,short,2.3266666666642415,5,pre_or_locked_trade,63.277777777777374,186.27777777777737,124.77777777777737,128.2652388981478,,277.2771014183345,,,98.27777777777737,186.27777777777737
132,long,137.66,1,discretionary_or_unclassified,-437.0,-319.75,-378.375,-235.05666484542598,-294.3833892514958,-163.19912155734346,-390.5,-230.0,-437.0,20.0
133,long,40.66,1,discretionary_or_unclassified,-371.0,-253.75,-312.375,-81.93715154610254,5.580598881129845,32.41918566508684,35.0,64.0,-371.0,109.0
134,long,33.46000000000291,4,orb_breakout_or_retest_candidate,-5.650000000001455,124.34999999999854,59.349999999998545,-35.28109597301591,-54.83306045916834,-45.44589465202807,-89.90000000000146,-9.650000000001455,-132.40000000000146,124.34999999999854
135,short,8.560000000001455,4,inverse_orb_candidate,119.95000000000073,399.9500000000007,259.9500000000007,151.43490748167824,89.0068171126004,103.77845900258762,57.45000000000073,202.20000000000073,57.45000000000073,399.9500000000007
136,short,6.731428571427532,4,orb_breakout_or_retest_candidate,-28.071428571427532,130.67857142857247,51.30357142857247,72.68733506274293,-201.920492863268,-20.662418374602566,19.678571428572468,145.42857142857247,-28.071428571427532,152.92857142857247
137,short,29.759999999998545,6,pre_or_locked_trade,154.54999999999927,287.7999999999993,221.17499999999927,215.96666666666715,,,,,169.79999999999927,287.7999999999993
