idea_id,fill_count,source_row_ids,symbol,contract,direction,entry_time_et,exit_time_et,trade_date_et,duration_minutes,weighted_entry_price,weighted_exit_price,contract_turnover,max_overlapping_contracts,gross_pnl,fees,net_pnl
15,2,1673263251|1673344974,F.US.MNQ,MNQZ25,long,2025-11-21 05:07:15.389389-05:00,2025-11-21 05:31:55.472156-05:00,2025-11-21,24.66804611666667,23950.875,23958.375,2,1,30.0,1.48,28.520000000000003
16,2,1676225520|1676489248,F.US.MNQ,MNQZ25,long,2025-11-21 10:55:18.597736-05:00,2025-11-21 11:16:50.935435-05:00,2025-11-21,21.538961649999997,24076.375,24082.25,2,1,23.5,1.48,22.02
17,14,1676781972|1676792316|1676970425|1677404755|1677698895|1677774133|1677774134|1677774135|1677774136|1677774137|1677774138|1677774139|1677792839|1677832782,F.US.MNQ,MNQZ25,short,2025-11-21 11:41:57.420672-05:00,2025-11-21 13:56:57.633881-05:00,2025-11-21,135.00355348333332,24483.76388888889,24478.296296296296,54,47,590.5,39.96,550.54
18,1,1681356843,F.US.MNQ,MNQZ25,short,2025-11-24 06:57:06.340117-05:00,2025-11-24 07:10:37.121982-05:00,2025-11-24,13.513031083333335,24449.0,24445.0,1,1,8.0,0.74,7.26
19,12,1682399184|1682527226|1683064096|1683768385|1684872275|1684872276|1684872278|1684872279|1684872280|1684872281|1686079637|1686079638,F.US.MNQ,MNQZ25,short,2025-11-24 09:43:58.618162-05:00,2025-11-24 15:50:03.868563-05:00,2025-11-24,366.08750668333334,24900.493243243243,24899.25,37,31,92.0,27.38,64.61999999999998
20,1,1688310414,F.US.MNQ,MNQZ25,short,2025-11-25 03:08:21.399178-05:00,2025-11-25 03:46:02.269255-05:00,2025-11-25,37.68116795,24905.25,24901.5,1,1,7.5,0.74,6.76
21,2,1688658379|1688685242,F.US.MNQ,MNQZ25,short,2025-11-25 05:50:09.167781-05:00,2025-11-25 06:04:07.221412-05:00,2025-11-25,13.967560516666667,24875.875,24874.0,2,1,7.5,1.48,6.02
22,11,1689902809|1690291497|1690688670|1691567849|1691567850|1691567851|1691629545|1691669357|1691793877|1691930199|1691996809,F.US.MNQ,MNQZ25,short,2025-11-25 09:39:41.662333-05:00,2025-11-25 11:20:37.468240-05:00,2025-11-25,100.93009845,24802.7,24792.7,15,7,300.0,11.1,288.90000000000003
23,2,1695786769|1696000842,F.US.MNQ,MNQZ25,short,2025-11-26 03:02:00.571026-05:00,2025-11-26 04:21:14.722639-05:00,2025-11-26,79.23586021666667,25180.125,25165.25,2,1,59.5,1.48,58.019999999999996
24,3,1697443674|1697549197|1697813214,F.US.MNQ,MNQZ25,short,2025-11-26 09:30:34.230578-05:00,2025-11-26 09:52:12.441897-05:00,2025-11-26,21.636855316666665,25232.916666666668,25212.916666666668,3,1,120.0,2.2199999999999998,117.78
25,6,1698582090|1698972011|1699522518|1699641891|1700143942|1700308873,F.US.MNQ,MNQZ25,short,2025-11-26 11:28:28.900353-05:00,2025-11-26 15:30:02.886112-05:00,2025-11-26,241.56642931666664,25328.625,25323.208333333332,6,1,65.0,4.4399999999999995,60.56
26,1,1702198123,F.US.MNQ,MNQZ25,long,2025-11-27 07:48:59.524395-05:00,2025-11-27 07:49:32.976174-05:00,2025-11-27,0.55752965,25298.75,25301.25,1,1,5.0,0.74,4.26
27,5,1703872525|1704270208|1704884383|1704884384|1704884385,F.US.MNQ,MNQZ25,short,2025-11-28 09:39:32.875381-05:00,2025-11-28 11:21:29.892457-05:00,2025-11-28,101.9502846,25408.722222222223,25400.75,9,7,143.5,6.66,136.84
28,2,1708470851|1708470852,F.US.MNQ,MNQZ25,short,2025-12-01 02:22:19.086110-05:00,2025-12-01 04:38:38.901073-05:00,2025-12-01,136.33024938333332,25297.25,25295.75,4,4,12.0,2.96,9.040000000000006
29,1,1708698833,F.US.MNQ,MNQZ25,short,2025-12-01 06:17:02.889006-05:00,2025-12-01 06:18:08.035583-05:00,2025-12-01,1.0857762833333333,25306.0,25303.25,1,1,5.5,0.74,4.76
30,7,1710451451|1710843888|1711111029|1711619848|1711619849|1711619850|1711655694,F.US.MNQ,MNQZ25,short,2025-12-01 10:02:09.927206-05:00,2025-12-01 11:07:36.478314-05:00,2025-12-01,65.44251846666667,25387.5,25375.923076923078,13,9,301.0,9.620000000000001,291.38
31,1,1713197748,F.US.MNQ,MNQZ25,short,2025-12-01 13:54:24.917903-05:00,2025-12-01 14:02:00.782017-05:00,2025-12-01,7.597735233333333,25483.0,25460.0,1,1,46.0,0.74,45.26
32,1,1716896324,F.US.MNQ,MNQZ25,short,2025-12-02 05:54:42.301528-05:00,2025-12-02 06:04:26.869339-05:00,2025-12-02,9.74279685,25493.0,25480.0,1,1,26.0,0.74,25.26
33,12,1717351779|1718496374|1718496375|1718496376|1719442389|1719442390|1719576720|1719687915|1720085935|1720297690|1720347987|1720478011,F.US.MNQ,MNQZ25,short,2025-12-02 08:31:13.002964-05:00,2025-12-02 11:19:23.488861-05:00,2025-12-02,168.17476495,25573.125,25563.90625,16,7,295.0,11.84,283.16
34,12,1725793987|1726159395|1727719522|1728030282|1728030283|1728089468|1728411084|1728411085|1728833741|1729032893|1729324295|1729324299,F.US.MNQ,MNQZ25,short,2025-12-03 08:19:47.674997-05:00,2025-12-03 11:46:00.779369-05:00,2025-12-03,206.2184062,25574.684210526317,25565.82894736842,19,5,336.5,14.06,322.44
35,5,1734371914|1734799780|1734845463|1735402464|1736502292,F.US.MNQ,MNQZ25,short,2025-12-04 09:13:10.079791-05:00,2025-12-04 10:47:47.412428-05:00,2025-12-04,94.62221061666668,25651.85,25619.2,5,1,326.5,3.7,322.8
36,1,1738642256,F.US.MNQ,MNQZ25,short,2025-12-04 13:07:43.771385-05:00,2025-12-04 14:16:59.205690-05:00,2025-12-04,69.25723841666667,25579.0,25578.5,1,1,1.0,0.74,0.26
37,1,1744169294,F.US.MNQ,MNQZ25,short,2025-12-05 10:06:10.190509-05:00,2025-12-05 10:47:21.990514-05:00,2025-12-05,41.19666675,25832.0,25816.25,1,1,31.5,0.74,30.76
38,3,1744578685|1745301379|1745885567,F.US.MNQ,MNQZ25,long,2025-12-05 11:03:18.216427-05:00,2025-12-05 13:05:34.914069-05:00,2025-12-05,122.27829403333334,25735.416666666668,25741.0,3,1,33.5,2.2199999999999998,31.28
39,1,1746545906,F.US.MNQ,MNQZ25,long,2025-12-05 14:47:39.443075-05:00,2025-12-05 14:50:19.943512-05:00,2025-12-05,2.6750072833333336,25706.25,25718.25,1,1,24.0,0.74,23.26
40,6,1749893373|1749893374|1749893375|1750334578|1750394122|1750573602,F.US.MNQ,MNQZ25,short,2025-12-08 08:32:20.643908-05:00,2025-12-08 09:45:25.571714-05:00,2025-12-08,73.0821301,25811.15,25807.725,10,7,68.5,7.4,61.10000000000001
41,16,1751448680|1751850790|1751850791|1752394841|1752394843|1752394844|1752394845|1752394846|1752394847|1752394848|1752847370|1752984636|1753496198|1753538204|1753675584|1754363115,F.US.MNQ,MNQZ25,long,2025-12-08 10:15:08.815176-05:00,2025-12-08 14:01:13.947316-05:00,2025-12-08,226.08553566666666,25644.377717391304,25648.698369565216,92,81,795.0,68.08,726.92
42,4,1761132450|1761386003|1761849870|1762039865,F.US.MNQ,MNQZ25,short,2025-12-09 12:04:06.941905-05:00,2025-12-09 14:08:28.637320-05:00,2025-12-09,124.36159025,25715.75,25706.3125,4,1,75.5,2.96,72.53999999999999
43,1,1764572127,F.US.MNQ,MNQZ25,short,2025-12-10 02:44:52.880053-05:00,2025-12-10 04:24:55.446221-05:00,2025-12-10,100.04276946666667,25725.25,25709.75,1,1,31.0,0.74,30.26
