idea_id,direction,setup_label,human_entry_ts,human_entry_price,human_1c_net_pnl,mech_rule,mech_signal_ts,mech_entry_price,delta_minutes,delta_price_signed,or_high,or_low,or_size,or_class
111,short,discretionary_or_unclassified,2026-02-06 10:50:35.479641-05:00,25034.46212121212,3.0842424242402195,inverse_orb,2026-02-06 09:47:00-05:00,24939.0,63.59132735,-95.46212121212011,24927.5,24700.5,227.0,wide
112,short,inverse_orb_candidate,2026-02-06 13:32:12.993523-05:00,25092.0,47.66,inverse_orb,2026-02-06 09:47:00-05:00,24939.0,225.21655871666664,-153.0,24927.5,24700.5,227.0,wide
113,short,inverse_orb_candidate,2026-02-09 10:59:29.018099-05:00,25365.25,5.66,inverse_orb,2026-02-09 09:51:00-05:00,25130.25,68.48363498333333,-235.0,25152.5,24955.5,197.0,wide
116,short,discretionary_or_unclassified,2026-02-10 10:25:56.985680-05:00,25382.0,0.6599999999999999,orb_break,2026-02-10 09:49:00-05:00,25278.25,36.94976133333333,-103.75,25410.25,25265.25,145.0,normal
117,short,discretionary_or_unclassified,2026-02-11 09:55:11.423520-05:00,25312.375,199.66,orb_break,2026-02-11 09:58:00-05:00,25295.25,-2.809608,-17.125,25465.5,25339.0,126.5,normal
118,short,discretionary_or_unclassified,2026-02-12 09:55:01.363693-05:00,25271.5,105.66,orb_break,2026-02-12 09:46:00-05:00,25287.75,9.022728216666668,16.25,25393.75,25303.75,90.0,tight
119,long,discretionary_or_unclassified,2026-02-12 12:01:36.779246-05:00,24839.5,0.6599999999999999,no_signal,,,,,25393.75,25303.75,90.0,tight
120,long,orb_breakout_or_retest_candidate,2026-02-13 10:41:38.674383-05:00,24825.0,-97.34,orb_break,2026-02-13 09:46:00-05:00,24803.5,55.64457305,21.5,24800.0,24578.75,221.25,wide
121,short,inverse_orb_candidate,2026-02-13 10:45:00.980024-05:00,24911.1875,26.16,ema_continuation,2026-02-13 09:48:00-05:00,24820.0,57.01633373333333,-91.1875,24800.0,24578.75,221.25,wide
123,short,discretionary_or_unclassified,2026-02-17 09:53:59.546958-05:00,24618.375,81.41,orb_break,2026-02-17 09:51:00-05:00,24570.75,2.9924492999999996,-47.625,24815.5,24605.75,209.75,normal
124,short,discretionary_or_unclassified,2026-02-18 11:03:53.001946-05:00,25087.75,110.66,inverse_orb,2026-02-18 09:47:00-05:00,24858.0,76.88336576666667,-229.75,24868.75,24752.0,116.75,tight
125,short,ema_continuation_candidate,2026-02-19 10:12:22.198450-05:00,24916.5,129.16,inverse_orb,2026-02-19 09:55:00-05:00,24907.25,17.36997416666667,-9.25,24883.25,24762.5,120.75,normal
126,short,discretionary_or_unclassified,2026-02-20 10:19:17.789331-05:00,25059.583333333332,78.66,inverse_orb,2026-02-20 09:48:00-05:00,24908.5,31.29648885,-151.08333333333212,24948.75,24677.0,271.75,wide
127,short,discretionary_or_unclassified,2026-02-23 09:58:40.905914-05:00,24907.75,80.16,orb_break,2026-02-23 09:46:00-05:00,24912.25,12.681765233333333,4.5,25040.0,24880.25,159.75,normal
