rule,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,date,or_class
inverse_orb,long,2026-03-05 10:38:00-05:00,25028.75,2026-03-05 10:52:00-05:00,25088.25,target,117.66,2026-03-05,normal
inverse_orb,short,2026-03-05 09:53:00-05:00,25127.25,2026-03-05 09:57:00-05:00,25157.75,stop,-62.34,2026-03-05,normal
ema_continuation,long,2026-03-05 10:08:00-05:00,25127.5,2026-03-05 10:20:00-05:00,25097.0,stop,-62.34,2026-03-05,normal
ema_continuation,short,2026-03-05 09:55:00-05:00,25135.75,2026-03-05 09:57:00-05:00,25166.25,stop,-62.34,2026-03-05,normal
orb_break,long,2026-03-06 10:01:00-05:00,24741.0,2026-03-06 10:08:00-05:00,24710.5,stop,-62.34,2026-03-06,tight
orb_retest,long,2026-03-06 10:02:00-05:00,24769.0,2026-03-06 10:04:00-05:00,24738.5,stop,-62.34,2026-03-06,tight
inverse_orb,short,2026-03-06 10:09:00-05:00,24675.5,2026-03-06 10:09:00-05:00,24706.0,stop,-62.34,2026-03-06,tight
ema_continuation,long,2026-03-06 13:28:00-05:00,24826.0,2026-03-06 13:54:00-05:00,24795.5,stop,-62.34,2026-03-06,tight
ema_continuation,short,2026-03-06 10:31:00-05:00,24851.5,2026-03-06 10:37:00-05:00,24882.0,stop,-62.34,2026-03-06,tight
orb_break,long,2026-03-09 10:45:00-04:00,24557.0,2026-03-09 11:15:00-04:00,24616.5,target,117.66,2026-03-09,normal
orb_break,short,2026-03-09 09:46:00-04:00,24389.0,2026-03-09 09:46:00-04:00,24419.5,stop,-62.34,2026-03-09,normal
orb_retest,short,2026-03-09 09:47:00-04:00,24404.25,2026-03-09 09:50:00-04:00,24344.75,target,117.66,2026-03-09,normal
inverse_orb,long,2026-03-09 09:47:00-04:00,24405.25,2026-03-09 09:47:00-04:00,24374.75,stop,-62.34,2026-03-09,normal
ema_continuation,long,2026-03-09 13:18:00-04:00,24654.75,2026-03-09 13:21:00-04:00,24624.25,stop,-62.34,2026-03-09,normal
ema_continuation,short,2026-03-09 14:02:00-04:00,24628.0,2026-03-09 14:19:00-04:00,24658.5,stop,-62.34,2026-03-09,normal
orb_break,long,2026-03-10 10:40:00-04:00,25085.0,2026-03-10 10:57:00-04:00,25144.5,target,117.66,2026-03-10,tight
