date,clean,quality,or_class,eligible,reason,or_high,or_low,or_size,breakout_ts,signal_ts,entry_ts,raw_entry,entry_price,stop_price,target_price,exit_ts,raw_exit,exit_price,exit_reason,net_pnl,vwap_at_signal,close_minus_vwap
2024-12-16,True,clean,tight,False,or_class_tight,21950.75,21896.0,54.75,,,,,,,,,,,,,,
2024-12-17,True,clean,normal,False,no_retest_signal,22061.5,21975.75,85.75,,,,,,,,,,,,,,
2024-12-18,True,clean,normal,True,,22002.5,21913.25,89.25,2024-12-18 10:05:00-05:00,2024-12-18 10:10:00-05:00,2024-12-18 10:11:00-05:00,22002.25,22004.75,21964.75,22054.75,2024-12-18 11:19:00-05:00,21964.75,21962.25,stop,-86.34,21966.052935202115,36.697064797885105
2024-12-19,True,clean,wide,False,or_class_wide,21424.0,21295.5,128.5,,,,,,,,,,,,,,
2024-12-20,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2024-12-23,True,clean,normal,False,no_retest_signal,21675.5,21605.5,70.0,,,,,,,,,,,,,,
2024-12-24,True,clean,normal,False,no_retest_signal,21875.0,21799.0,76.0,,,,,,,,,,,,,,
2024-12-26,True,clean,tight,False,or_class_tight,22008.5,21955.25,53.25,,,,,,,,,,,,,,
2024-12-27,True,clean,wide,False,or_class_wide,21863.0,21682.0,181.0,,,,,,,,,,,,,,
2024-12-30,True,clean,wide,False,or_class_wide,21417.0,21309.5,107.5,,,,,,,,,,,,,,
2024-12-31,True,clean,wide,False,or_class_wide,21489.5,21367.75,121.75,,,,,,,,,,,,,,
2025-01-02,True,clean,wide,False,or_class_wide,21373.0,21166.5,206.5,,,,,,,,,,,,,,
2025-01-03,True,clean,wide,False,or_class_wide,21431.5,21276.75,154.75,,,,,,,,,,,,,,
2025-01-06,True,clean,normal,True,,21828.75,21723.75,105.0,2025-01-06 09:49:00-05:00,2025-01-06 10:13:00-05:00,2025-01-06 10:14:00-05:00,21838.0,21840.5,21800.5,21890.5,2025-01-06 10:46:00-05:00,21890.5,21888.0,target,93.66,21799.93369859915,38.066301400849625
2025-01-07,True,clean,normal,False,no_upside_breakout,21806.25,21695.0,111.25,,,,,,,,,,,,,,
2025-01-08,True,clean,normal,False,no_retest_signal,21384.75,21289.75,95.0,,,,,,,,,,,,,,
2025-01-10,True,clean,wide,False,or_class_wide,21197.25,21067.75,129.5,,,,,,,,,,,,,,
2025-01-13,True,clean,normal,True,,20786.0,20701.5,84.5,2025-01-13 09:53:00-05:00,2025-01-13 10:02:00-05:00,2025-01-13 10:03:00-05:00,20796.25,20798.75,20758.75,20848.75,2025-01-13 10:06:00-05:00,20848.75,20846.25,target,93.66,20764.925484438056,31.32451556194428
2025-01-14,True,clean,normal,False,no_upside_breakout,21129.25,21018.0,111.25,,,,,,,,,,,,,,
2025-01-15,True,clean,normal,False,no_retest_signal,21307.5,21186.5,121.0,,,,,,,,,,,,,,
2025-01-16,True,clean,normal,False,no_upside_breakout,21498.0,21404.5,93.5,,,,,,,,,,,,,,
2025-01-17,True,clean,wide,False,or_class_wide,21653.5,21492.25,161.25,,,,,,,,,,,,,,
2025-01-21,True,clean,normal,False,no_retest_signal,21718.5,21589.5,129.0,,,,,,,,,,,,,,
2025-01-22,True,clean,tight,False,or_class_tight,21982.0,21902.5,79.5,,,,,,,,,,,,,,
2025-01-23,True,clean,tight,False,or_class_tight,21915.75,21866.0,49.75,,,,,,,,,,,,,,
2025-01-24,True,clean,tight,False,or_class_tight,22052.75,22000.0,52.75,,,,,,,,,,,,,,
2025-01-27,True,clean,wide,False,or_class_wide,21303.0,21108.25,194.75,,,,,,,,,,,,,,
2025-01-28,True,clean,normal,False,no_retest_signal,21319.75,21172.5,147.25,,,,,,,,,,,,,,
2025-01-29,True,clean,normal,False,no_upside_breakout,21606.25,21498.5,107.75,,,,,,,,,,,,,,
2025-01-30,True,clean,tight,False,or_class_tight,21668.75,21597.25,71.5,,,,,,,,,,,,,,
2025-01-31,True,clean,tight,False,or_class_tight,21838.25,21764.0,74.25,,,,,,,,,,,,,,
2025-02-03,True,clean,normal,False,signal_filtered,21314.75,21177.75,137.0,,,,,,,,,,,,,,
2025-02-04,True,clean,normal,False,no_retest_signal,21523.5,21405.0,118.5,,,,,,,,,,,,,,
2025-02-05,True,clean,tight,False,or_class_tight,21587.75,21519.0,68.75,,,,,,,,,,,,,,
2025-02-06,True,clean,tight,False,or_class_tight,21790.0,21738.0,52.0,,,,,,,,,,,,,,
